,Name
Bar Central,27
Empório Sertanejo,27
Papaya Verde,18
Pão de Açúcar,18
Restaurante Puxinanã,18
Chiwake,18
Praça da República,18
Com.Pão,18
Itapissuma,18
DaHora Restaurante e Pizzaria,18
Dalena,18
Sinagoga Kahal Zur Israel,18
Panificadora e Confeitaria Espinheiro,18
Apolo Beer Café,18
Downtown Pub,18
Sansa,18
Espaço Muda,18
Restaurante Amarelo Manga,18
Feirinha do Bom Jesus,18
Restaurante Capitão Lima,18
Terracio Restaurante,18
China 48,18
Caravela's,18
Cais do Sertão,18
As Galerias,18
Bar Burburinho,18
ZEN,18
Parque 13 de Maio,18
Winner Sports Bar,18
Via Paladar,18
Bodega do Futuro,18
Buca Trattoria,18
O Rei das Coxinhas,18
Paço do Frevo,18
Torre Malakoff,18
Galeria Café Castro Alves,18
Parque de Esculturas Francisco Brennand,9
Praça do Marco Zero,9
Pizzaria La Cuca,9
Parraxaxá,9
Recanto Paraibano,9
Parque da Jaqueira,9
Recife Cocos,9
Parque Santana,9
Portal da Picanha,9
Ponto do Açaí,9
Restaurante Acafrao,9
Ponte Nova,9
Pizzaria Candelabro,9
Alphaiate,9
Rock & Ribs,9
Tay San Yuen,9
Yantai Express,9
Wiella Bistrô,9
Vovó Nice,9
Vasconcelos Bistrô e Café,9
Vaporetto Container Bar,9
Underground,9
Torre Massas,9
Tomaselli,9
Texanno's,9
Tapioca da Maria,9
Rua do lazer,9
Sítio Trindade,9
São Braz Café,9
São Braz,9
Sugoi,9
Spettus Steak House,9
Speciale Pizzas Artesanais,9
Seu Boteco,9
Santa Pizza,9
Sabor do Doce,9
Sob Medida,9
Mutti Capriccio,9
Panificadora Nova Armada,9
Pan Jovem Jaqueira,9
Di Branco Recepções,9
Delicia da Prazeres,9
Confraria do Sanduba,9
Confraria,9
Club du Vin,9
Club Miró,9
Club Bardot,9
Cioccolatte Gelateria,9
Chez Wiet Patisserie,9
Casa dos Frios,9
Carlitos Burguer,9
Capitania Forneria & Mar,9
Canela Gastrobar,9
Camarada Camarão,9
Cakes Doceria,9
Cachaçaria Tradição,9
Bogart Café,9
Benvinda,9
Bar e Restaurante Marisqueira,9
Bar do Neno e Lula,9
Bar do Ao Seu Dispor,9
Bar do Agenor,9
Bar Teatro Mamulengo,9
Diplomata Delicatessen,9
Dobradinha do Gordo,9
Empadas Santa Massa,9
Kovacic,9
Oma Pâtisserie e Bistrô,9
O Vegetariano,9
O Rei da Picanha,9
Nova Torre,9
Nikko Japanese Fusion,9
Na Venda - Chocolates e Cafés,9
Mingus,9
Le Olive Pizzeria,9
La Pecora Nera,9
Kwai Burger,9
Itiban,9
Entre Amigos Praia,9
Italian Freddo,9
Iraq,9
Irajá,9
Igarassu,9
Guaiamum Gigante,9
Govinda,9
Ganache Tortas Finas,9
Frontal Ponto de Encontro,9
Famiglia Lucco Pizzas,9
Famiglia Lucco,9
Ça Va Bistrô,9
