,Name,Latitude,Longitude,Rating,Review Count
0,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
1,O Rei das Coxinhas,-8.0443096,-34.894249,4.5,11
2,Dalena,-8.0476161,-34.897091,4.5,9
3,Chiwake,-8.0479241,-34.8954469,5.0,5
4,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
5,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
6,China 48,-8.0403204,-34.8926697,4.5,5
7,Papaya Verde,-8.0454302,-34.8928795,4.5,4
8,Via Paladar,-8.04317,-34.893261,5.0,3
9,Com.Pão,-8.0415697,-34.8981781,5.0,4
10,Restaurante Amarelo Manga,-8.0437498,-34.8926811,4.5,3
11,Pão de Açúcar,-8.0460616,-34.8972255,4.5,6
12,Buca Trattoria,-8.0451803,-34.8933601,4.5,3
13,Panificadora e Confeitaria Espinheiro,-8.0422497,-34.8923988,4.5,3
14,Bodega do Futuro,-8.0427656,-34.8987312,4.0,7
15,DaHora Restaurante e Pizzaria,-8.0451899,-34.8937683,4.5,3
16,Famiglia Lucco,-8.0474396,-34.8949585,4.5,4
17,Ponte Nova,-8.0465311,-34.8981218,5.0,4
18,Terracio Restaurante,-8.0439501,-34.8928909,5.0,2
19,Na Venda - Chocolates e Cafés,-8.0451899,-34.8985901,5.0,3
20,Bar e Restaurante Marisqueira,-8.0073512,-34.840877,5.0,1
21,Sugoi,-7.9998088,-34.8392563,4.0,1
22,Capitania Forneria & Mar,-7.9952755,-34.838913,5.0,1
23,Sob Medida,-7.99626491926441,-34.8418368672758,1.0,1
24,Spettus Steak House,-8.103658,-34.889275,4.5,17
25,Nikko Japanese Fusion,-8.105029,-34.888829,4.5,7
26,Camarada Camarão,-8.100946254656,-34.8864100361763,4.5,8
27,Entre Amigos Praia,-8.09816842304372,-34.8840141766686,4.0,10
28,Alphaiate,-8.104383,-34.887301,4.5,4
29,Ganache Tortas Finas,-8.1124802,-34.8935699,5.0,3
30,Tomaselli,-8.1029196,-34.8864594,4.5,3
31,Benvinda,-8.10566,-34.889524,4.5,3
32,Mingus,-8.0977966,-34.8847806,5.0,3
33,Casa dos Frios,-8.1062803,-34.8901596,4.5,3
34,Empadas Santa Massa,-8.103817,-34.8866997,4.5,3
35,Wiella Bistrô,-8.1007299,-34.8876114,4.5,3
36,Underground,-8.0970402,-34.8834915,4.0,6
37,Diplomata Delicatessen,-8.1086502,-34.8903008,4.0,4
38,Ça Va Bistrô,-8.0955496,-34.8840408,4.5,4
39,Cakes Doceria,-8.1055498,-34.8895416,4.5,2
40,Italian Freddo,-8.1008997,-34.8865814,4.5,2
41,Chez Wiet Patisserie,-8.1007299,-34.8876114,4.5,2
42,Club du Vin,-8.1055403,-34.8886108,4.0,2
43,Club Bardot,-8.1101398,-34.892849,5.0,2
44,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
45,Parque 13 de Maio,-8.0569096,-34.8833885,4.5,8
