,Name,Latitude,Longitude,Rating,Review Count
192,Alphaiate,-8.104383,-34.887301,4.5,4
233,Apolo Beer Café,-8.0612497,-34.872139,5.0,4
756,As Galerias,-8.0612999,-34.87173,4.5,5
99,Bar Burburinho,-8.0640259,-34.8724022,4.5,6
208,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
573,Bar Teatro Mamulengo,-8.0610504,-34.8716393,4.0,5
158,Bar do Agenor,-8.0482397,-34.9145012,3.5,3
1465,Bar do Ao Seu Dispor,-8.04184,-34.90811,3.5,7
1110,Bar do Neno e Lula,-8.0328199,-34.90963,4.5,5
1168,Bar e Restaurante Marisqueira,-8.0073512,-34.840877,5.0,1
1015,Benvinda,-8.10566,-34.889524,4.5,3
506,Bodega do Futuro,-8.0427656,-34.8987312,4.0,7
1362,Bogart Café,-8.0546198,-34.8881798,4.5,5
611,Buca Trattoria,-8.0451803,-34.8933601,4.5,3
940,Cachaçaria Tradição,-8.0449434,-34.8997402,4.5,5
260,Cais do Sertão,-8.060006,-34.869925,4.5,5
1351,Cakes Doceria,-8.1055498,-34.8895416,4.5,2
1174,Camarada Camarão,-8.100946254656,-34.8864100361763,4.5,8
785,Canela Gastrobar,-8.0345201,-34.8987999,4.5,5
1170,Capitania Forneria & Mar,-7.9952755,-34.838913,5.0,1
426,Caravela's,-8.0620203,-34.8714104,5.0,4
649,Carlitos Burguer,-8.04387,-34.9092,3.5,7
525,Casa dos Frios,-8.1062803,-34.8901596,4.5,3
697,Chez Wiet Patisserie,-8.1007299,-34.8876114,4.5,2
926,China 48,-8.0403204,-34.8926697,4.5,5
1420,Chiwake,-8.0479241,-34.8954469,5.0,5
242,Cioccolatte Gelateria,-8.0549221,-34.869442,5.0,4
371,Club Bardot,-8.1101398,-34.892849,5.0,2
540,Club Miró,-8.0539904,-34.8879318,4.5,5
1354,Club du Vin,-8.1055403,-34.8886108,4.0,2
112,Com.Pão,-8.0415697,-34.8981781,5.0,4
1266,Confraria,-8.034333,-34.890739,4.5,6
1311,Confraria do Sanduba,-8.04762,-34.90904,3.5,5
1105,DaHora Restaurante e Pizzaria,-8.0451899,-34.8937683,4.5,3
1091,Dalena,-8.0476161,-34.897091,4.5,9
1464,Delicia da Prazeres,-8.05186,-34.91823,4.5,3
155,Di Branco Recepções,-8.0474701,-34.9085503,4.5,3
